row_number,단지명,도시,구,동(법정동),주소(지번),주소(도로명),건물유형,준공연도,건물층수,기준평형,총 세대수,총 인구수,최초 설치일자,판매등급,판매수량,대당단가,4주 금액
37,세창리베하우스아파트,경기도,양주시,옥정동,경기도 양주시 옥정동 176 세창리베하우스아파트,"경기도 양주시 새터로 37 (옥정동, 세창리베하우스아파트)",아파트,2003,15,32,998,2645,2020-10-19T00:00:00,A+,34,10000,340000
38,양주옥정계룡더파크포레아파트,경기도,양주시,옥정동,경기도 양주시 옥정동 1099 더 파크포레 계룡건설 엔에이치에프,"경기도 양주시 옥정로2길 265 (옥정동, 더 파크포레 계룡건설 엔에이치에프)",아파트,2020,29,0,901,2388,2020-09-25T00:00:00,A,23,7000,161000
39,양주옥정대방노블랜드,경기도,양주시,옥정동,경기도 양주시 옥정동 968 양주옥정신도시 대방노블랜드 더 시그니처,"경기도 양주시 회천남로 54 (옥정동, 양주옥정신도시 대방노블랜드 더 시그니처)",아파트,2021,34,33,1483,3930,2020-09-24T00:00:00,A+,26,10000,260000
40,양주옥정유림노르웨이숲,경기도,양주시,옥정동,경기도 양주시 옥정동 1097 양주옥정 유림노르웨이숲,"경기도 양주시 옥정로2길 229 (옥정동, 양주옥정 유림노르웨이숲)",아파트,2023,35,0,1140,3021,2019-04-26T00:00:00,A+,24,10000,240000
41,옥정리젠시빌란트,경기도,양주시,옥정동,경기도 양주시 옥정동 1026 리젠시빌란트,"경기도 양주시 옥정동로9길 74 (옥정동, 리젠시빌란트)",아파트,2018,27,24,514,1362,2022-03-29T00:00:00,A,15,7000,105000
42,옥정센트럴파크푸르지오,경기도,양주시,옥정동,경기도 양주시 옥정동 955 옥정 센트럴파크 푸르지오,"경기도 양주시 옥정서로 130 (옥정동, 옥정 센트럴파크 푸르지오)",아파트,2016,29,24,1862,4934,2021-02-08T00:00:00,A+,36,10000,360000
43,옥정천년나무16단지아파트,경기도,양주시,옥정동,경기도 양주시 옥정동 1047 옥정천년나무16단지,"경기도 양주시 회천남로 115 (옥정동, 옥정천년나무16단지)",아파트,2017,21,0,1618,4288,2022-03-17T00:00:00,A+,24,10000,240000
44,율정마을7단지,경기도,양주시,옥정동,경기도 양주시 옥정동 1027 율정마을7단지,"경기도 양주시 옥정동로 257 (옥정동, 율정마을7단지)",아파트,2014,20,0,1256,3328,2020-09-25T00:00:00,A,24,7000,168000
45,이편한세상양주신도시,경기도,양주시,옥정동,경기도 양주시 옥정동 958 e편한세상 옥정어반센트럴,"경기도 양주시 옥정로5길 35 (옥정동, e편한세상 옥정어반센트럴)",아파트,2017,25,33,761,2017,2020-05-06T00:00:00,A+,16,10000,160000
46,양주시 합계,,,,,,,,,,32073,,,,818,,
47,가능금용아파트,경기도,의정부시,가능동,경기도 의정부시 가능동 15-25 금용아파트,"경기도 의정부시 태평로184번길 21-4 (가능동, 금용아파트)",아파트,1996,23,32,150,398,2020-08-10T00:00:00,A,3,7000,21000
48,꿈에그린푸르미마을아파트,경기도,의정부시,가능동,경기도 의정부시 가능동 846 꿈에그린푸르미마을 꿈에그린푸르미마을,"경기도 의정부시 호국로 1161 (가능동, 꿈에그린푸르미마을) 꿈에그린푸르미마을",아파트,2016,20,0,360,954,2022-02-03T00:00:00,A,9,7000,63000
49,녹양동원1차아파트,경기도,의정부시,가능동,경기도 의정부시 가능동 106-21 동원아파트,"경기도 의정부시 녹양로62번길 98 (가능동, 동원아파트)",아파트,1993,21,24,406,1076,2020-07-29T00:00:00,A,5,7000,35000
50,의정부SK뷰,경기도,의정부시,가능동,경기도 의정부시 가능동 656-1 의정부 SK VIEW,"경기도 의정부시 신촌로 18-7 (가능동, 의정부 SK VIEW)",아파트,2007,24,32,1019,2700,2020-08-10T00:00:00,A+,28,10000,280000
51,금오2차신도브래뉴업아파트,경기도,의정부시,금오동,경기도 의정부시 금오동 344-17 금오2차 신도브래뉴 업,"경기도 의정부시 동일로 660 (금오동, 금오2차 신도브래뉴 업)",아파트,2007,25,32,1111,2944,2019-06-14T00:00:00,A+,28,10000,280000
52,금오거성아파트,경기도,의정부시,금오동,경기도 의정부시 금오동 67-1 거성아파트,"경기도 의정부시 상금로 36 (금오동, 거성아파트)",아파트,1997,22,33,531,1407,2019-02-13T00:00:00,A,14,7000,98000
53,금오신도브래뉴1차아파트,경기도,의정부시,금오동,경기도 의정부시 금오동 370 금오동 신도브래뉴1차아파트,"경기도 의정부시 호국로 1369 (금오동, 금오동 신도브래뉴1차아파트)",아파트,2004,23,31,482,1277,2021-05-24T00:00:00,A,11,7000,77000
54,금오주공2단지아파트,경기도,의정부시,금오동,경기도 의정부시 금오동 253-1 주공아파트,"경기도 의정부시 하금로 44 (금오동, 주공아파트)",아파트,2005,15,0,463,1227,2019-06-03T00:00:00,A,7,7000,49000
55,금오주공3단지아파트,경기도,의정부시,금오동,경기도 의정부시 금오동 476-1 주공그린빌,"경기도 의정부시 부용로 137 (금오동, 주공그린빌)",아파트,2003,20,25,820,2173,2021-06-30T00:00:00,A,24,7000,168000
56,금오파스텔,경기도,의정부시,금오동,경기도 의정부시 금오동 78 파스텔아파트,"경기도 의정부시 상금로 41-16 (금오동, 파스텔아파트)",아파트,1998,23,24,332,880,2020-12-14T00:00:00,A,8,7000,56000
57,이클래스,경기도,의정부시,금오동,경기도 의정부시 금오동 314-7,경기도 의정부시 거북로4번길 30 (금오동),오피스텔,2021,9,0,48,92,2022-08-31T00:00:00,A,2,7000,14000
58,LH민락양지마을10단지,경기도,의정부시,낙양동,경기도 의정부시 낙양동 735 민락양지마을10단지,"경기도 의정부시 용민로 373-17 (낙양동, 양지마을 10단지)",아파트,2017,23,0,812,2152,2022-12-06T00:00:00,A,10,7000,70000
59,LH부용마을3단지아파트,경기도,의정부시,낙양동,경기도 의정부시 낙양동 712 부용마을 3단지,"경기도 의정부시 오목로 251 (낙양동, 부용마을 3단지)",아파트,2013,15,0,913,2419,2020-03-16T00:00:00,A,20,7000,140000
